RA_ICRS|DE_ICRS|SDSS12|SDSS-ID|objID|Sp-ID|SpObjID|umag|e_umag|gmag|e_gmag|rmag|e_rmag|imag|e_imag|zmag|e_zmag|zsp|e_zsp
018.201677|+01.040205|J011248.40+010224.7|4145-301-6-0232-0236|1237663278472626412|4227-55481-0628|4759351621505970176|21.101| 0.126|20.062| 0.024|19.605| 0.022|19.305| 0.025|19.111| 0.075| 0.13371| 0.00001


017.190390|+00.733311|J010845.69+004359.9|4128-301-5-0238-0338|1237663204921704786|3736-55214-0800|4206582041766719488|22.030| 0.330|20.856| 0.056|19.971| 0.038|19.754| 0.052|19.499| 0.149| 0.25366| 0.00005


011.009459|-00.230307|J004402.27-001349.1|4263-301-3-0189-0605|1237663783665336925|4222-55444-0071|4753569014356832256|23.039| 0.480|22.263| 0.129|21.636| 0.111|21.540| 0.142|20.968| 0.326| 0.28199| 0.00005

005.679782|+00.012527|J002243.14+000045.0|4263-301-4-0153-0998|1237663784199848934|4219-55480-0160|4750215779374002176|22.326| 0.254|22.731| 0.173|21.369| 0.083|20.995| 0.087|20.833| 0.289| 0.23942| 0.00005


